date,type,entry_price,exit_price,pnl,pnl_pct,note
2026-01-23,locked,1630.0,1740.0,110.0,0.06748466257668712,
2026-01-26,not_locked,1790.0,1770.0,-20.0,-0.0111731843575419,
2026-04-21,locked,2090.0,2120.0,30.0,0.014354066985645933,
2026-04-22,locked,2295.0,2325.0,30.0,0.013071895424836602,
2026-04-24,locked,2435.0,2470.0,35.0,0.014373716632443531,
2026-04-28,not_locked,2675.0,2615.0,-60.0,-0.022429906542056073,
2026-05-04,locked,2870.0,3155.0,285.0,0.09930313588850175,
2026-05-05,locked,3155.0,3470.0,315.0,0.09984152139461172,
2026-05-06,not_locked,3470.0,3430.0,-40.0,-0.011527377521613832,
2026-05-21,locked,3550.0,3765.0,215.0,0.06056338028169014,
2026-05-25,locked,4245.0,4375.0,130.0,0.030624263839811542,
2026-05-27,not_locked,4690.0,4640.0,-50.0,-0.010660980810234541,
2026-06-09,locked,4475.0,4315.0,-160.0,-0.035754189944134075,
2026-06-30,not_locked,4300.0,4245.0,-55.0,-0.012790697674418604,
